UF_Notificacao,Ign_Em_Branco,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Total_Calculado
TOTAL,164,1329838,2594794,4114939,4304428,3015182,980148,404895,237338,186481,191331,275864,438733,18074135,18073971
Rondônia,28896,10289,10805,6492,4093,2301,1634,1064,852,1298,2699,4416,54841,0,100784
Acre,18548,13675,9406,5229,4255,1971,1828,3293,8755,11096,13040,13208,104304,0,190060
Amazonas,9159,9201,9995,8254,5372,3455,2950,2313,2644,3339,4076,5470,66228,0,123297
Roraima,504,418,407,427,530,580,538,649,596,503,590,483,6225,0,11946
Pará,12176,16755,17893,13440,8912,4516,3297,3299,2682,2588,3570,4812,93940,0,175704
Amapá,2292,3927,3997,2837,2057,1508,1666,1625,1162,1149,771,464,23455,0,44618
Tocantins,212117,12582,12840,12866,10997,4894,2325,1625,1116,1430,3673,7937,84404,0,156689
Maranhão,26242,13335,19775,16810,9392,4266,2542,1982,1349,1218,1417,1840,80170,0,154096
Piauí,3470,7527,16750,25262,21589,12342,6194,3247,1509,1104,1118,1317,101429,0,199388
Ceará,610598,19400,35683,60305,70545,52335,33031,19943,9935,6052,6426,5522,329781,0,648958
Rio Grande do Norte,610463,28433,39866,39488,37891,27359,19600,13202,7097,5310,4741,4556,238012,0,465555
Paraíba,39261,14998,24490,26644,30385,21241,15976,10436,6835,5007,4484,6709,176469,0,343674
Pernambuco,262,6781,34187,45236,52949,50696,32386,22694,16878,14441,14444,23213,23228,357159,337133
Alagoas,36356,8338,11659,15483,25520,24927,21015,13312,8712,7071,7317,5256,154969,0,303579
Sergipe,11330,2360,2710,3119,3849,4038,4580,3670,3222,2306,2824,1515,35524,0,69717
Bahia,833429,86204,147735,142082,105462,50955,32507,18826,12830,11195,12199,15067,668499,0,1303561
Minas Gerais,283,2550,715242,995867,878012,521123,127437,32166,15640,14671,18283,35300,69563,3725882,3425854
Espírito Santo,21904,21166,24938,22445,24421,19587,12201,7612,5888,6616,7755,13049,187582,0,353260
Rio de Janeiro,463158,128685,141872,110056,75616,31310,15754,9733,7512,7723,11298,21823,624544,0,1185926
São Paulo,373,61857,725964,1376447,1535410,1087765,277194,76634,35139,28334,31226,45242,88982,5670231,5370194
Paraná,999578,218589,408988,446164,287967,62986,17620,7551,6206,7820,14166,27126,1604770,0,3109953
Santa Catarina,17880,38441,143409,229478,159170,38065,8531,2471,1294,1325,1536,3406,635007,0,1262133
Rio Grande do Sul,15311,24112,100090,172306,101825,16294,3433,1161,803,769,936,1242,428283,0,851254
Mato Grosso do Sul,40723,55267,69950,60481,39680,13653,6098,3470,2899,3827,9390,15725,321163,0,601603
Mato Grosso,338515,43926,42735,43306,35518,16979,8794,5526,4209,4805,9292,16430,270038,0,501558
Goiás,211,39499,221198,286882,284263,223754,97208,40626,26795,24296,27559,39532,59104,1470737,1370716
Distrito Federal,177240,120567,114512,90818,66798,30361,10661,6876,6632,6268,9259,20483,560476,0,1043711
Ignorado/exterior,182,0,0,0,0,0,0,0,0,0,0,0,0,13,0
